Date,Raw,Count
8-Dec,0.9409795598,1
9-Dec,0,0
10-Dec,0,0
11-Dec,0.9409795598,1
12-Dec,0,0
13-Dec,0,0
14-Dec,2.97752131,3
15-Dec,0,0
16-Dec,3.995792185,4
17-Dec,5.01406306,5
18-Dec,2.97752131,3
19-Dec,1.996964171,2
20-Dec,9.011719088,9
21-Dec,3.995792185,4
22-Dec,10.02998996,10
23-Dec,5.051776796,5
24-Dec,5.01406306,5
25-Dec,3.995792185,4
26-Dec,2.97752131,3
27-Dec,13.04708885,13
28-Dec,9.011719088,9
29-Dec,11.0105471,11
30-Dec,13.00937512,13
31-Dec,10.02998996,10
1-Jan,42.01680672,42
2-Jan,35.0140056,35
3-Jan,42.01680672,42
4-Jan,23.67768095,24
5-Jan,47.31753813,47
6-Jan,40.56329322,41
7-Jan,47.31753813,47
8-Jan,91.22013003,91
9-Jan,67.58027285,68
10-Jan,114.8599872,115
11-Jan,121.6142321,122
12-Jan,135.1227219,135
13-Jan,179.0253138,179
14-Jan,185.7795587,186
15-Jan,280.3389874,280
16-Jan,293.8474773,294
17-Jan,364.7670488,365
18-Jan,388.406906,388
19-Jan,415.4238856,415
20-Jan,797.0387229,797
21-Jan,807.1700903,807
22-Jan,1016.551682,1017
23-Jan,1293.475724,1293
24-Jan,1347.509683,1348
25-Jan,1344.13256,1344
26-Jan,1425.183499,1425
27-Jan,1374.526663,1375
28-Jan,1404.920765,1405
29-Jan,1165.14507,1165
30-Jan,1249.573132,1250
31-Jan,1148.259458,1148
1-Feb,2127.62497,2128
2-Feb,1225.933275,1226
3-Feb,1060.454274,1060
4-Feb,992.9118252,993
5-Feb,1057.077152,1057
6-Feb,709.2335391,709
7-Feb,736.2505187,736
8-Feb,604.542743,605
9-Feb,486.3434571,486
10-Feb,682.2165595,682
11-Feb,445.8179877,446
12-Feb,476.2120898,476
13-Feb,506.6061919,507
14-Feb,368.1441712,368
15-Feb,334.3729467,334
16-Feb,303.9788446,304
17-Feb,509.9833143,510
18-Feb,482.9663347,483
19-Feb,290.4703548,290
20-Feb,270.2076201,270
21-Feb,263.4533752,263
22-Feb,233.0592731,233
23-Feb,165.516824,166
24-Feb,179.0253138,179
25-Feb,189.1566812,189
26-Feb,118.2371097,118
27-Feb,94.59725248,95
28-Feb,74.33451776,74
29-Feb,47.31753813,47
1-Mar,60.82602794,61
2-Mar,40.56329322,41
3-Mar,40.56329322,41
4-Mar,20.3005585,20
5-Mar,20.3005585,20
6-Mar,10.16919113,10
7-Mar,3.414946225,3
8-Mar,,
